"","comic.name","comic.summary","comic.grade"
"430","전설의 미친 전교1등","입시비리vs전교1등","9.60"
"431","재워주는 사이","재워드릴테니재워줘요","9.69"
"432","마지막 소원을 이뤄주는 사무소","마지막을 아름답게","9.68"
"433","사예의 식이장애 일지","식이장애 이야기","9.76"
"434","제네틱 아이러니","성별이 바뀐다고?","8.38"
"435","마롱의 마카롱","디저트 먹는 만화","9.86"
"436","고양이식당","요리천재 고양이","9.75"
"437","일월의 선화","동양풍 성장 판타지","9.82"
"438","우리반 여신","행운의여신우리학교에","9.65"
"439","마이웨이수호신","로코+환생판타지","9.17"
"440","플래닛자이언","월드와이드 SF극화","9.37"
"441","하트샷","징크스 극복기","9.57"
"442","소도시에 삽니다","지방 소도시의 일상","9.93"
"443","리사이클 : 클래식 코드","모든건 계산 아래.","8.81"
"444","결혼 후, 보통의 삶","묘한 중독 짱매의 매일매일","9.90"
"445","다시, 닻별","엉뚱발랄 일상이야기","5.76"
"446","미신","사이비 호러스릴러","9.66"
"447","우리집엔 호랑이가 산다","호랑이굴에서살아남기","9.92"
"448","주말엔 보랏빛 향기","성장 로맨스","9.72"
"449","작은 집에 사는 커다란 개","강아지와 사람 얘기","9.92"
"450","광해와 이순신","전쟁을 이긴 영웅들","9.59"
"451","소울","코믹액션 더하기 환타지","8.93"
"452","앙(怏)","일진생활 청산","9.28"
"453","매일의 선물","다정한 선물 가게","9.86"
"454","더 익스트림","TheExtreme","9.34"
"455","안녕, 앨리스","로맨스 판타지","9.83"
"456","다음 생도 신이 되겠습니다.","신이 되려는 소녀","9.27"
"457","개판오분전","이판사판","9.66"
"458","궤짝","어두운본성을마주하다","9.76"
"459","프라이머리 컬러","게임회사 입사꿀팁!","9.78"
"460","헬로,로시!","판타지 모험 이야기","9.71"
"461","가상&RPG","가상현실 액션RPG","9.88"
"462","에이전트","대한민국비밀특수요원","9.68"
"463","주작작 주주작","영짐승 배틀물","9.67"
"464","단편만화","단편 이야기","9.27"
"465","이데아 프로젝트","능력자 판타지","9.83"
"466","에고 인 휴고","지킬 박사의 후손","9.80"
"467","현피뜨던사이","평강이의 온달찾기","9.53"
"468","치즈범벅","치즈고양이형제 일상","9.84"
"469","신들의 극장","역사,철학속 로맨스","9.85"
"470","느린한끼","요리 만화","9.88"
"471","미스터 신데렐라","신데렐라가 남자라면","9.78"
"472","천상열차분야지도","옥황상제와 별자리","9.87"
"473","써니서프 - 혜진 이야기","서핑 힐링 드라마","9.67"
"474","러브 유어 시스터","사랑스럽고수상한남자","9.82"
"475","환생 세탁소","환생원에 어서오세요","9.77"
"476","당신의 쓸모","우리는 식물성이야!","9.51"
"477","절교여행","절교여행 버라이어티","9.82"
"478","범고래아가씨","달달한 연애일상","9.68"
"479","사장님은 떡뽀끼!","분식집 일상물","9.65"
"480","보이지 않는 선","선을 넘을듯 말듯","9.03"
"481","사랑하는 계절","자유연재","9.73"
"482","백작가의 상인","백작가의 상인","8.60"
"483","공작일보 工作日<U+62A5>","보주장의중국이야기","9.38"
"484","오 사장님은 상사병","오사장의상사병고치기","9.71"
"485","성녀가 아니라 마녀였습니다!","로맨스 판타지","9.74"
"486","그대로 멈춰라","시간이 멈춘 세계!","9.68"
"487","이불 밖 달리기","저질체력인생과 운동","9.91"
"488","오사와 오폐수들","오레오사냥꾼의 일상","9.92"
"489","위시(WISH)","뱀파이어소녀와아저씨","9.69"
"490","커다랗게 울었다.","대학가 스릴러","9.28"
"491","고량","범 내려온다","9.89"
"492","단편들","단편만화","9.90"
"493","장르 섞인 만화","개그랑 로맨스 섞임","9.75"
"494","내 몸을 잘 부탁해!","세대공감 판타지","9.57"
"495","나만 모르는 연애","'연애'가 뭔데?","8.34"
"496","클로저","불운은 이제 그만!","8.84"
"497","별종위기종","멸종위기급 별종들","9.77"
